Student_Number,First_Name,Last_Name,Status,Current_Track,Current_Year_Entry_Date,Current_Year_Exit_Date,Grade_Level,School,Membership,Present,Absent,Tardies,Special_Education_Program
1521,First521,Last521,Active,A,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,109,4,0,0
1522,First522,Last522,Active,B,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,110,3,0,0
1523,First523,Last523,Active,A,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,104,9,0,0
1524,First524,Last524,Active,A,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,104,9,0,1
1525,First525,Last525,Active,A,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,91,22,0,0
1526,First526,Last526,Active,B,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,111,2,0,0
1527,First527,Last527,Active,A,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,111,2,0,0
1528,First528,Last528,Active,B,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,109,4,0,0
1529,First529,Last529,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,99,14,0,0
1530,First530,Last530,Active,C,8/24/2020,6/4/2021,3,KIPP Columbus Elementary,113,111,2,0,0
1531,First531,Last531,Active,A,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,112,1,0,0
1532,First532,Last532,Active,B,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,88,25,0,0
1533,First533,Last533,Active,C,8/24/2020,6/4/2021,5,KIPP Columbus Elementary,113,97,16,0,0
1534,First534,Last534,Active,C,8/24/2020,6/4/2021,4,KIPP Columbus Elementary,113,84,29,0,0
1535,First535,Last535,Active,C,8/24/2020,6/4/2021,2,KIPP Columbus Elementary,113,113,0,0,0
